codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
27105,FIDEOS KNORR FORATTI 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,51.0,59,33,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",78.79,5
36340,FIDEOS KNORR MOSTACHOL 500G.,MOLINOS TRES ARROYOS,Nogoya Sur,2024-08-02,2024-08-08,230.0,66,9,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",633.33,5
36340,FIDEOS KNORR MOSTACHOL 500G.,MOLINOS TRES ARROYOS,Nogoya Italia,2024-08-02,2024-08-08,173.0,28,11,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-13, 2024-08-14",154.55,5
36340,FIDEOS KNORR MOSTACHOL 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,63.0,20,5,"2024-08-01, 2024-08-10, 2024-08-13, 2024-08-15, 2024-08-19",300.0,5
36340,FIDEOS KNORR MOSTACHOL 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,17.0,47,24,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-13, 2024-08-15",95.83,5
25751,FIDEOS KNORR RIGATTI 500G.,MOLINOS TRES ARROYOS,Nogoya Italia,2024-08-02,2024-08-08,69.0,23,2,2024-08-01,1050.0,1
25751,FIDEOS KNORR RIGATTI 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,45.0,15,10,"2024-08-01, 2024-08-12, 2024-08-19, 2024-08-20, 2024-08-22",50.0,5
25751,FIDEOS KNORR RIGATTI 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,46.0,35,17,"2024-08-01, 2024-08-09, 2024-08-15, 2024-08-16, 2024-08-20",105.88,5
25751,FIDEOS KNORR RIGATTI 500G.,MOLINOS TRES ARROYOS,Nogoya Sur,2024-08-02,2024-08-08,162.0,70,22,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",218.18,5
25746,FIDEOS KNORR SPAGHETTI 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,33.0,33,36,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",-8.33,5
27106,FIDEOS KNORR TALLARINES 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,60.0,85,444,"2024-08-09, 2024-08-10, 2024-08-13, 2024-08-14, 2024-08-15",-80.86,5
27106,FIDEOS KNORR TALLARINES 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,4.0,1,4,2024-08-13,-75.0,1
25750,FIDEOS KNORR TIRABUZON 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,30.0,27,3,"2024-08-15, 2024-08-16",800.0,2
25750,FIDEOS KNORR TIRABUZON 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,33.0,74,24,"2024-08-09, 2024-08-10, 2024-08-14, 2024-08-15, 2024-08-16",208.33,5
25750,FIDEOS KNORR TIRABUZON 500G.,MOLINOS TRES ARROYOS,Nogoya Sur,2024-08-02,2024-08-08,127.0,39,14,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-15",178.57,5
26676,FIDEOS LA PROVIDENCIA MO/O 500G.,PP.SAN SALVADOR,Nogoya Italia,2024-08-23,2024-08-29,0.0,60,0,,,0
26676,FIDEOS LA PROVIDENCIA MO/O 500G.,PP.SAN SALVADOR,Nogoya Sur,2024-08-23,2024-08-29,422.0,75,43,"2024-08-05, 2024-08-06, 2024-08-07, 2024-08-08, 2024-08-09",74.42,5
26676,FIDEOS LA PROVIDENCIA MO/O 500G.,PP.SAN SALVADOR,Crespo,2024-08-23,2024-08-29,39.0,206,80,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",157.5,5
26676,FIDEOS LA PROVIDENCIA MO/O 500G.,PP.SAN SALVADOR,Hernandez,2024-08-23,2024-08-29,104.0,48,18,"2024-08-01, 2024-08-02, 2024-08-22, 2024-08-30",166.67,4
231797,FIDEOS MATARAZZO SIN TACC PENNE RIGATE 500G.,MOLINOS RIO DL.PLATA,Hernandez,2024-08-23,2024-08-29,22.0,1,2,"2024-08-13, 2024-08-21",-50.0,2
231797,FIDEOS MATARAZZO SIN TACC PENNE RIGATE 500G.,MOLINOS RIO DL.PLATA,Crespo,2024-08-23,2024-08-29,34.0,31,30,"2024-08-03, 2024-08-05, 2024-08-06, 2024-08-07, 2024-08-08",3.33,5
